RefSeq	Genbank	Taxid	Strain name	contigid
GCF_000016585.1	GCA_000016585.1_ASM1658v1	24	Shewanella putrefaciens CN-32	NC_009438.1
GCF_000016845.1	GCA_000016845.1_ASM1684v1	236	Brucella ovis ATCC 25840	NC_009504.1
GCF_000006765.1	GCA_000006765.1_ASM676v1	287	Pseudomonas aeruginosa PAO1	NC_002516.2
GCF_000014625.1	GCA_000014625.1_ASM1462v1	287	Pseudomonas aeruginosa UCBPP-PA14	NC_008463.1
GCF_000016865.1	GCA_000016865.1_ASM1686v1	303	Pseudomonas putida F1	NC_009512.1
GCF_000019125.1	GCA_000019125.1_ASM1912v1	303	Pseudomonas putida GB-1	NC_010322.1
GCF_000019445.1	GCA_000019445.1_ASM1944v1	303	Pseudomonas putida W619	NC_010501.1
GCF_000012245.1	GCA_000012245.1_ASM1224v1	317	Pseudomonas syringae pv. syringae B728a	NC_007005.1
GCF_000006965.1	GCA_000006965.1_ASM696v1	382	Sinorhizobium meliloti 1021	NC_003047.1
GCF_000069245.1	GCA_000069245.1_ASM6924v1	470	Acinetobacter baumannii AYE	NC_010410.1
GCF_000007445.1	GCA_000007445.1_ASM744v1	562	Escherichia coli CFT073	NC_004431.1
GCF_000013265.1	GCA_000013265.1_ASM1326v1	562	Escherichia coli UTI89	NC_007946.1
GCF_000013305.1	GCA_000013305.1_ASM1330v1	562	Escherichia coli 536	NC_008253.1
GCF_000014845.1	GCA_000014845.1_ASM1484v1	562	Escherichia coli APEC O1	NC_008563.1
GCF_000008865.2	GCA_000008865.2_ASM886v2	562	Escherichia coli O157:H7 str. Sakai	NC_002695.1
GCF_000017745.1	GCA_000017745.1_ASM1774v1	562	Escherichia coli O139:H28 str. E24377A	NC_009801.1
GCF_000017765.1	GCA_000017765.1_ASM1776v1	562	Escherichia coli HS	NC_009800.1
GCF_000019425.1	GCA_000019425.1_ASM1942v1	562	Escherichia coli str. K-12 substr. DH10B	NC_010473.1
GCF_000019645.1	GCA_000019645.1_ASM1964v1	562	Escherichia coli SMS-3-5	NC_010498.1
GCF_000012025.1	GCA_000012025.1_ASM1202v1	621	Shigella boydii Sb227	NC_007613.1
GCF_000012005.1	GCA_000012005.1_ASM1200v1	622	Shigella dysenteriae Sd197	NC_007606.1
GCF_000007405.1	GCA_000007405.1_ASM740v1	623	Shigella flexneri 2a str. 2457T	NC_004741.1
GCF_000013585.1	GCA_000013585.1_ASM1358v1	623	Shigella flexneri 5 str. 8401	NC_008258.1
GCF_000092525.1	GCA_000092525.1_ASM9252v1	624	Shigella sonnei Ss046	NC_007384.1
GCF_000006645.1	GCA_000006645.1_ASM664v1	632	Yersinia pestis KIM10+	NC_004088.1
GCF_000018805.1	GCA_000018805.1_ASM1880v1	632	Yersinia pestis Angola	NC_010159.1
GCF_000016945.1	GCA_000016945.1_ASM1694v1	633	Yersinia pseudotuberculosis IP 31758	NC_009708.1
GCF_000019465.1	GCA_000019465.1_ASM1946v1	633	Yersinia pseudotuberculosis YPIII	NC_010465.1
GCF_000047365.1	GCA_000047365.1_ASM4736v1	633	Yersinia pseudotuberculosis IP 32953	NC_006155.1
GCF_000009745.1	GCA_000009745.1_ASM974v1	672	Vibrio vulnificus YJ016	NC_005139.1
GCF_000017705.1	GCA_000017705.1_ASM1770v1	680	Vibrio campbellii ATCC BAA-1116	NC_009783.1
GCF_000012185.1	GCA_000012185.1_ASM1218v1	727	Haemophilus influenzae 86-028NP	NC_007146.2
GCF_000027305.1	GCA_000027305.1_ASM2730v1	727	Haemophilus influenzae Rd KW20	NC_000907.1
GCF_000014345.1	GCA_000014345.1_ASM1434v1	788	Rickettsia canadensis str. McKiel	NC_009879.1
GCF_000013365.1	GCA_000013365.1_ASM1336v1	1076	Rhodopseudomonas palustris HaA2	NC_007778.1
GCF_000013685.1	GCA_000013685.1_ASM1368v1	1076	Rhodopseudomonas palustris BisB5	NC_007958.1
GCF_000011485.1	GCA_000011485.1_ASM1148v1	1219	Prochlorococcus marinus str. MIT 9313	NC_005071.1
GCF_000012465.1	GCA_000012465.1_ASM1246v1	1219	Prochlorococcus marinus str. NATL2A	NC_007335.2
GCF_000015685.1	GCA_000015685.1_ASM1568v1	1219	Prochlorococcus marinus str. NATL1A	NC_008819.1
GCF_000009665.1	GCA_000009665.1_ASM966v1	1280	Staphylococcus aureus subsp. aureus Mu50	NC_002758.2
GCF_000010445.1	GCA_000010445.1_ASM1044v1	1280	Staphylococcus aureus subsp. aureus Mu3	NC_009782.1
GCF_000011265.1	GCA_000011265.1_ASM1126v1	1280	Staphylococcus aureus subsp. aureus MW2	NC_003923.1
GCF_000013465.1	GCA_000013465.1_ASM1346v1	1280	Staphylococcus aureus subsp. aureus USA300_FPR3757	NC_007793.1
GCF_000016805.1	GCA_000016805.1_ASM1680v1	1280	Staphylococcus aureus subsp. aureus JH9	NC_009487.1
GCF_000017125.1	GCA_000017125.1_ASM1712v1	1280	Staphylococcus aureus subsp. aureus JH1	NC_009632.1
GCF_000007265.1	GCA_000007265.1_ASM726v1	1311	Streptococcus agalactiae 2603V/R	NC_004116.1
GCF_000012705.1	GCA_000012705.1_ASM1270v1	1311	Streptococcus agalactiae A909	NC_007432.1
GCF_000196055.1	GCA_000196055.1_ASM19605v1	1311	Streptococcus agalactiae NEM316	NC_004368.1
GCF_000019265.1	GCA_000019265.1_ASM1926v1	1313	Streptococcus pneumoniae Hungary19A-6	NC_010380.1
GCF_000019985.1	GCA_000019985.1_ASM1998v1	1313	Streptococcus pneumoniae CGSP14	NC_010582.1
GCF_000007285.1	GCA_000007285.1_ASM728v1	1314	Streptococcus pyogenes MGAS8232	NC_003485.1
GCF_000007425.1	GCA_000007425.1_ASM742v1	1314	Streptococcus pyogenes MGAS315	NC_004070.1
GCF_000011285.1	GCA_000011285.1_ASM1128v1	1314	Streptococcus pyogenes SSI-1	NC_004606.1
GCF_000011665.1	GCA_000011665.1_ASM1166v1	1314	Streptococcus pyogenes MGAS10394	NC_006086.1
GCF_000013505.1	GCA_000013505.1_ASM1350v1	1314	Streptococcus pyogenes MGAS10270	NC_008022.1
GCF_000013525.1	GCA_000013525.1_ASM1352v1	1314	Streptococcus pyogenes MGAS2096	NC_008023.1
GCF_000013545.1	GCA_000013545.1_ASM1354v1	1314	Streptococcus pyogenes MGAS10750	NC_008024.1
GCF_000007845.1	GCA_000007845.1_ASM784v1	1392	Bacillus anthracis str. Ames	NC_003997.3
GCF_000008165.1	GCA_000008165.1_ASM816v1	1392	Bacillus anthracis str. Sterne	NC_005945.1
GCF_000008445.1	GCA_000008445.1_ASM844v1	1392	Bacillus anthracis str. 'Ames Ancestor'	NC_007530.2
GCF_000007825.1	GCA_000007825.1_ASM782v1	1396	Bacillus cereus ATCC 14579	NC_004722.1
GCF_000008005.1	GCA_000008005.1_ASM800v1	1396	Bacillus cereus ATCC 10987	NC_003909.8
GCF_000018825.1	GCA_000018825.1_ASM1882v1	1405	Bacillus mycoides KBAB4	NC_010184.1
GCF_000015065.1	GCA_000015065.1_ASM1506v1	1428	Bacillus thuringiensis str. Al Hakam	NC_008600.1
GCF_000010225.1	GCA_000010225.1_ASM1022v1	1718	Corynebacterium glutamicum R	NC_009342.1
