spot	nb_rgp	nb_families	nb_unique_family_sets	mean_nb_genes	stdev_nb_genes	max_nb_genes	min_nb_genes
spot_9	624	26	9	6.136	0.939	9	5
spot_2	583	63	25	5.317	0.624	8	4
spot_1	464	13	5	7.062	0.326	10	7
spot_44	447	68	32	7.181	0.565	10	7
spot_12	365	29	10	6.978	2.911	13	4
spot_18	336	6	2	5.021	0.143	6	5
spot_15	336	15	5	6.914	2.345	16	6
spot_6	324	93	73	7.753	2.129	13	4
spot_35	318	13	5	8.047	0.227	10	8
spot_45	291	11	8	7.395	0.62	11	6
spot_63	282	13	7	8.954	0.604	10	4
spot_7	270	7	3	4.189	0.445	6	4
spot_36	270	24	11	4.274	0.509	6	4
spot_61	261	699	96	10.621	3.028	32	5
spot_49	261	9	2	8.077	0.267	9	8
spot_32	260	15	9	5.604	2.074	11	4
spot_37	259	7	3	6.062	0.285	7	4
spot_30	258	11	3	7.419	0.761	10	7
spot_26	250	12	6	7.788	0.811	10	7
spot_58	245	7	3	6.065	0.307	8	4
spot_62	235	10	5	5.043	0.241	7	5
spot_47	233	713	47	13.773	18.758	73	4
spot_11	232	29	5	10.698	1.544	14	5
spot_4	227	28	12	8.744	0.656	11	4
spot_55	214	5	1	5.037	0.213	7	5
spot_38	213	163	37	15.108	7.139	51	8
spot_5	210	13	21	4.986	0.667	7	4
spot_0	209	10	7	4.062	0.261	6	4
spot_27	208	29	11	21.99	2.668	26	16
spot_53	204	10	9	5.985	0.271	7	5
spot_50	202	435	56	11.96	13.248	85	4
spot_24	201	6	2	5.109	0.313	6	5
spot_33	197	12	4	9.239	0.963	10	8
spot_40	197	219	71	30.97	6.161	51	5
spot_20	195	7	3	5.077	0.267	6	5
spot_14	192	26	6	4.349	1.608	14	4
spot_78	180	10	3	9.161	0.384	10	8
spot_31	179	21	6	5.184	2.993	17	4
spot_83	162	241	33	17.858	19.04	79	10
spot_23	153	13	3	5.105	0.489	10	4
spot_22	145	5	1	5.048	0.215	6	5
spot_10	131	585	79	19.42	12.022	91	5
spot_17	130	20	16	6.185	0.495	8	6
spot_59	128	196	29	14.18	17.265	47	4
spot_95	125	28	14	18.952	1.946	21	7
spot_29	119	6	5	4.076	0.266	5	4
spot_21	117	22	5	19.205	1.399	23	14
spot_57	117	7	2	6.026	0.159	7	6
spot_65	115	280	29	22.991	16.333	81	6
spot_54	103	371	42	20.291	18.845	61	4
spot_25	102	67	20	18.863	10.386	34	5
spot_66	100	14	7	4.14	0.472	6	4
spot_28	99	6	2	4.03	0.172	5	4
spot_67	96	15	10	6.906	1.067	10	5
spot_72	90	99	13	23.156	5.442	45	10
spot_8	83	84	23	40.807	8.54	58	5
spot_94	75	10	4	5.253	0.773	8	5
spot_68	75	22	5	13.227	2.351	21	12
spot_85	69	12	2	9.087	0.411	12	9
spot_42	68	16	6	6.324	0.531	8	5
spot_120	66	101	12	5.894	9.643	81	4
spot_92	65	9	4	5.538	1.091	8	5
spot_76	64	18	4	15	1.458	17	4
spot_89	63	20	7	5.302	0.796	9	5
spot_56	62	530	37	20.742	20.516	148	11
spot_133	61	8	5	6	0.365	7	4
spot_100	60	6	1	6.033	0.181	7	6
spot_99	57	9	6	4.07	0.32	6	4
spot_64	57	7	2	6.526	0.71	9	6
spot_73	56	4	1	4.036	0.187	5	4
spot_119	55	7	1	7.127	0.336	8	7
spot_79	52	7	1	7.019	0.139	8	7
spot_104	49	15	13	7.898	0.963	9	4
spot_93	49	19	9	9.449	1.062	11	6
spot_70	49	12	3	9.98	0.322	11	8
spot_52	47	10	3	6.319	1.065	10	6
spot_97	47	209	36	38.979	11.532	48	8
spot_121	46	20	13	9.37	0.532	11	9
spot_77	45	5	1	5.022	0.149	6	5
spot_16	44	218	31	21.205	5.188	28	9
spot_141	39	4	1	4	0.0	4	4
spot_69	39	20	2	18.769	0.959	20	18
spot_114	38	4	1	4	0.0	4	4
spot_98	38	7	2	6.053	0.226	7	6
spot_3	38	374	26	30.368	20.443	53	4
spot_41	38	151	23	20.105	9.258	43	5
