Accession_number	Start	End	Prediction_method
NC_009879.1	516744	539116	Islandpath-Dimob
NC_009879.1	1062898	1095148	Islandpath-Dimob
NC_010498.1	306879	332396	Islandpath-Dimob
NC_010498.1	653261	658536	Islandpath-Dimob
NC_010498.1	1073298	1097182	Islandpath-Dimob
NC_010498.1	1191111	1213795	Islandpath-Dimob
NC_010498.1	2260902	2279298	Islandpath-Dimob
NC_010498.1	2286363	2302908	Islandpath-Dimob
NC_010498.1	2549717	2570004	Islandpath-Dimob
NC_010498.1	2985431	2993936	Islandpath-Dimob
NC_010498.1	3193823	3312418	Islandpath-Dimob
NC_010498.1	4414732	4427247	Islandpath-Dimob
NC_010498.1	4866570	4916328	Islandpath-Dimob
NC_004722.1	909131	944509	Islandpath-Dimob
NC_004722.1	1234639	1253507	Islandpath-Dimob
NC_004722.1	1805567	1810471	Islandpath-Dimob
NC_004722.1	2355784	2375485	Islandpath-Dimob
NC_004722.1	2535828	2562509	Islandpath-Dimob
NC_004722.1	3659104	3665399	Islandpath-Dimob
NC_004722.1	4386875	4401368	Islandpath-Dimob
NC_004722.1	4727183	4733520	Islandpath-Dimob
NC_004722.1	4981513	4999556	Islandpath-Dimob
NC_004722.1	5007601	5031251	Islandpath-Dimob
NC_004722.1	5091064	5098812	Islandpath-Dimob
NC_009783.1	218662	250433	Islandpath-Dimob
NC_009783.1	521654	536162	Islandpath-Dimob
NC_009783.1	828337	837772	Islandpath-Dimob
NC_009783.1	1309396	1317608	Islandpath-Dimob
NC_009783.1	1480511	1494893	Islandpath-Dimob
NC_009783.1	1672670	1704033	Islandpath-Dimob
NC_009783.1	1786453	1797007	Islandpath-Dimob
NC_009783.1	1945718	1955121	Islandpath-Dimob
NC_009783.1	1984518	1988403	Islandpath-Dimob
NC_009783.1	2371582	2382577	Islandpath-Dimob
NC_009783.1	2833984	2847499	Islandpath-Dimob
NC_009783.1	2996649	3010003	Islandpath-Dimob
NC_009900.1	701137	762733	Islandpath-Dimob
NC_009900.1	954758	973581	Islandpath-Dimob
NC_009900.1	1090915	1107234	Islandpath-Dimob
NC_009900.1	1247578	1281264	Islandpath-Dimob
NC_003909.8	160105	203441	Islandpath-Dimob
NC_003909.8	385909	412846	Islandpath-Dimob
NC_003909.8	420610	440508	Islandpath-Dimob
NC_003909.8	879795	894647	Islandpath-Dimob
NC_003909.8	2944229	2951910	Islandpath-Dimob
NC_003909.8	3118223	3126042	Islandpath-Dimob
NC_003909.8	3483244	3496001	Islandpath-Dimob
NC_003909.8	3614272	3623650	Islandpath-Dimob
NC_003909.8	3819302	3830602	Islandpath-Dimob
NC_003909.8	4255109	4285534	Islandpath-Dimob
NC_003909.8	5182944	5197740	Islandpath-Dimob
NC_010380.1	29609	41070	Islandpath-Dimob
NC_010380.1	1042982	1053265	Islandpath-Dimob
NC_010380.1	1315343	1319065	Islandpath-Dimob
NC_010380.1	1740675	1761889	Islandpath-Dimob
NC_010380.1	1784867	1791770	Islandpath-Dimob
NC_008600.1	1280735	1293915	Islandpath-Dimob
NC_008600.1	2101704	2122166	Islandpath-Dimob
NC_008600.1	2354744	2376193	Islandpath-Dimob
NC_008600.1	2567242	2583058	Islandpath-Dimob
NC_008600.1	4249736	4264806	Islandpath-Dimob
NC_010410.1	1307527	1322105	Islandpath-Dimob
NC_010410.1	2192554	2200129	Islandpath-Dimob
NC_010410.1	2542681	2548864	Islandpath-Dimob
NC_010410.1	2557896	2574939	Islandpath-Dimob
NC_010410.1	3609192	3685503	Islandpath-Dimob
NC_007761.1	246037	266444	Islandpath-Dimob
NC_007761.1	784527	814177	Islandpath-Dimob
NC_007761.1	1386634	1393819	Islandpath-Dimob
NC_007761.1	2048618	2116572	Islandpath-Dimob
NC_005139.1	146363	172972	Islandpath-Dimob
NC_005139.1	1794510	1819854	Islandpath-Dimob
NC_005139.1	1862827	1893304	Islandpath-Dimob
NC_005139.1	1906605	1931551	Islandpath-Dimob
NC_005139.1	2219064	2261113	Islandpath-Dimob
NC_010515.1	681216	702100	Islandpath-Dimob
NC_010515.1	1122208	1142041	Islandpath-Dimob
NC_010515.1	1383225	1425363	Islandpath-Dimob
NC_010515.1	1520332	1530289	Islandpath-Dimob
NC_010515.1	1624257	1719698	Islandpath-Dimob
NC_010515.1	2108190	2152356	Islandpath-Dimob
NC_010515.1	2162598	2177141	Islandpath-Dimob
NC_010515.1	2458334	2464157	Islandpath-Dimob
NC_010515.1	2689691	2715647	Islandpath-Dimob
NC_008750.1	365401	396145	Islandpath-Dimob
NC_008750.1	452703	477924	Islandpath-Dimob
NC_008750.1	1211810	1333839	Islandpath-Dimob
NC_008750.1	2336904	2344970	Islandpath-Dimob
NC_008750.1	2538570	2555063	Islandpath-Dimob
NC_008750.1	2821014	2886123	Islandpath-Dimob
NC_008750.1	2920189	2941314	Islandpath-Dimob
NC_008750.1	3095463	3117353	Islandpath-Dimob
NC_008750.1	3308838	3337492	Islandpath-Dimob
NC_008750.1	4210328	4225008	Islandpath-Dimob
NC_008750.1	4254170	4273403	Islandpath-Dimob
NC_008750.1	4575355	4587754	Islandpath-Dimob
NC_008750.1	4654091	4701168	Islandpath-Dimob
NC_006905.1	318260	355569	Islandpath-Dimob
NC_006905.1	371391	434527	Islandpath-Dimob
NC_006905.1	952588	963000	Islandpath-Dimob
NC_006905.1	1082109	1124327	Islandpath-Dimob
NC_006905.1	1193614	1202684	Islandpath-Dimob
NC_006905.1	1304912	1372381	Islandpath-Dimob
NC_006905.1	1967962	1989908	Islandpath-Dimob
NC_006905.1	2243740	2252930	Islandpath-Dimob
NC_006905.1	2747233	2794508	Islandpath-Dimob
NC_006905.1	3787219	3796398	Islandpath-Dimob
NC_010473.1	218431	226803	Islandpath-Dimob
NC_010473.1	236656	294775	Islandpath-Dimob
NC_010473.1	458288	525732	Islandpath-Dimob
NC_010473.1	624484	638992	Islandpath-Dimob
NC_010473.1	780547	791325	Islandpath-Dimob
NC_010473.1	1351006	1371866	Islandpath-Dimob
NC_010473.1	1389906	1399666	Islandpath-Dimob
NC_010473.1	1500657	1516404	Islandpath-Dimob
NC_010473.1	1724405	1737446	Islandpath-Dimob
NC_010473.1	2151423	2168393	Islandpath-Dimob
NC_010473.1	2187479	2201008	Islandpath-Dimob
NC_010473.1	2557642	2563753	Islandpath-Dimob
NC_010473.1	2838561	2886573	Islandpath-Dimob
NC_010473.1	3456943	3463409	Islandpath-Dimob
NC_010473.1	3747059	3752508	Islandpath-Dimob
NC_010473.1	4596581	4614139	Islandpath-Dimob
NC_009504.1	428931	437884	Islandpath-Dimob
NC_009504.1	495086	544806	Islandpath-Dimob
NC_009504.1	819614	835317	Islandpath-Dimob
NC_009076.1	75043	102948	Islandpath-Dimob
NC_009076.1	113586	123208	Islandpath-Dimob
NC_009076.1	783171	798764	Islandpath-Dimob
NC_009076.1	1396224	1406485	Islandpath-Dimob
NC_009076.1	1497736	1509215	Islandpath-Dimob
NC_009076.1	1673620	1683612	Islandpath-Dimob
NC_009076.1	2030566	2094110	Islandpath-Dimob
NC_009076.1	3567817	3623351	Islandpath-Dimob
NC_009076.1	3690983	3735442	Islandpath-Dimob
NC_009076.1	3764445	3807857	Islandpath-Dimob
NC_009076.1	3882213	3890843	Islandpath-Dimob
NC_008322.1	381575	390756	Islandpath-Dimob
NC_008322.1	817262	851666	Islandpath-Dimob
NC_008322.1	1174692	1208245	Islandpath-Dimob
NC_008322.1	1296856	1310787	Islandpath-Dimob
NC_008322.1	2083605	2123874	Islandpath-Dimob
NC_008322.1	2516692	2521940	Islandpath-Dimob
NC_008322.1	4610554	4636400	Islandpath-Dimob
NC_009801.1	827928	856086	Islandpath-Dimob
NC_009801.1	999193	1003513	Islandpath-Dimob
NC_009801.1	1397878	1415445	Islandpath-Dimob
NC_009801.1	1438724	1448989	Islandpath-Dimob
NC_009801.1	1754336	1777076	Islandpath-Dimob
NC_009801.1	2175406	2220180	Islandpath-Dimob
NC_009801.1	2900451	2941083	Islandpath-Dimob
NC_009801.1	3020717	3032808	Islandpath-Dimob
NC_009801.1	3337922	3427961	Islandpath-Dimob
NC_009801.1	4835661	4858336	Islandpath-Dimob
NC_009801.1	4868452	4908633	Islandpath-Dimob
NC_007384.1	269954	303810	Islandpath-Dimob
NC_007384.1	734741	744919	Islandpath-Dimob
NC_007384.1	759935	772687	Islandpath-Dimob
NC_007384.1	790155	798343	Islandpath-Dimob
NC_007384.1	931298	936990	Islandpath-Dimob
NC_007384.1	1087304	1104177	Islandpath-Dimob
NC_007384.1	1129783	1136606	Islandpath-Dimob
NC_007384.1	1146332	1159898	Islandpath-Dimob
NC_007384.1	1327025	1349581	Islandpath-Dimob
NC_007384.1	1385326	1396749	Islandpath-Dimob
NC_007384.1	1762326	1783843	Islandpath-Dimob
NC_007384.1	1857248	1875731	Islandpath-Dimob
NC_007384.1	1984290	2025711	Islandpath-Dimob
NC_007384.1	2279562	2309434	Islandpath-Dimob
NC_007384.1	2545274	2592352	Islandpath-Dimob
NC_007384.1	2803686	2818551	Islandpath-Dimob
NC_007384.1	2828271	2845461	Islandpath-Dimob
NC_007384.1	2888194	2903077	Islandpath-Dimob
NC_007384.1	2910556	2916444	Islandpath-Dimob
NC_007384.1	2930231	2956693	Islandpath-Dimob
NC_007384.1	3389074	3399804	Islandpath-Dimob
NC_007384.1	3482909	3499052	Islandpath-Dimob
NC_007384.1	3611231	3639418	Islandpath-Dimob
NC_007384.1	3746342	3781091	Islandpath-Dimob
NC_007384.1	4089951	4124662	Islandpath-Dimob
NC_007384.1	4270770	4284731	Islandpath-Dimob
NC_007384.1	4577199	4590776	Islandpath-Dimob
NC_004603.1	375199	389224	Islandpath-Dimob
NC_004603.1	667360	675883	Islandpath-Dimob
NC_004603.1	1117611	1145718	Islandpath-Dimob
NC_004603.1	1664891	1679799	Islandpath-Dimob
NC_004603.1	1900885	1923536	Islandpath-Dimob
NC_004603.1	2240007	2258690	Islandpath-Dimob
NC_009997.1	193287	265475	Islandpath-Dimob
NC_009997.1	676559	756498	Islandpath-Dimob
NC_009997.1	930674	946696	Islandpath-Dimob
NC_009997.1	1998898	2029253	Islandpath-Dimob
NC_009997.1	2344788	2383043	Islandpath-Dimob
NC_009997.1	2388312	2420751	Islandpath-Dimob
NC_009997.1	2532703	2563853	Islandpath-Dimob
NC_009997.1	2641324	2687476	Islandpath-Dimob
NC_009997.1	2695832	2725080	Islandpath-Dimob
NC_009997.1	3450423	3471338	Islandpath-Dimob
NC_009997.1	3670966	3689651	Islandpath-Dimob
NC_009997.1	3997449	4040342	Islandpath-Dimob
NC_009997.1	4105309	4114156	Islandpath-Dimob
NC_009997.1	5195012	5224040	Islandpath-Dimob
NC_009665.1	190088	262947	Islandpath-Dimob
NC_009665.1	642271	722208	Islandpath-Dimob
NC_009665.1	892679	908180	Islandpath-Dimob
NC_009665.1	2030741	2047344	Islandpath-Dimob
NC_009665.1	2209970	2245250	Islandpath-Dimob
NC_009665.1	2334403	2380052	Islandpath-Dimob
NC_009665.1	3026959	3038504	Islandpath-Dimob
NC_009665.1	3052812	3062124	Islandpath-Dimob
NC_009665.1	3873297	3917426	Islandpath-Dimob
NC_009665.1	3992843	4011971	Islandpath-Dimob
NC_009665.1	5079189	5104448	Islandpath-Dimob
NC_010465.1	66852	78598	Islandpath-Dimob
NC_010465.1	308641	370518	Islandpath-Dimob
NC_010465.1	663483	692994	Islandpath-Dimob
NC_010465.1	1023457	1035833	Islandpath-Dimob
NC_010465.1	1046621	1070536	Islandpath-Dimob
NC_010465.1	1331363	1371510	Islandpath-Dimob
NC_010465.1	1856482	1867708	Islandpath-Dimob
NC_010465.1	2533359	2544381	Islandpath-Dimob
NC_010465.1	2554696	2575928	Islandpath-Dimob
NC_010465.1	3392173	3408151	Islandpath-Dimob
NC_010465.1	3426638	3445196	Islandpath-Dimob
NC_010465.1	4589059	4597830	Islandpath-Dimob
NC_004088.1	49742	58050	Islandpath-Dimob
NC_004088.1	518864	551406	Islandpath-Dimob
NC_004088.1	564755	574426	Islandpath-Dimob
NC_004088.1	724108	732073	Islandpath-Dimob
NC_004088.1	767526	783669	Islandpath-Dimob
NC_004088.1	830845	843374	Islandpath-Dimob
NC_004088.1	1123268	1129261	Islandpath-Dimob
NC_004088.1	1517559	1521766	Islandpath-Dimob
NC_004088.1	1922705	1936648	Islandpath-Dimob
NC_004088.1	2041428	2053698	Islandpath-Dimob
NC_004088.1	2218967	2228545	Islandpath-Dimob
NC_004088.1	2424300	2450119	Islandpath-Dimob
NC_004088.1	2645673	2700576	Islandpath-Dimob
NC_004088.1	3386972	3402858	Islandpath-Dimob
NC_004088.1	3662710	3678315	Islandpath-Dimob
NC_004088.1	3865165	3876792	Islandpath-Dimob
NC_004088.1	4001898	4011774	Islandpath-Dimob
NC_004088.1	4207039	4225681	Islandpath-Dimob
