#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
BackhedF_2015__SID12_4M__bin.5	2506	2148	276	82	0	65	2517	2155	280	82	0	66	57.92	2099
BackhedF_2015__SID130_12M__bin.32	2118	1825	265	28	0	65	2130	1832	270	28	0	67	49.59	1797
BackhedF_2015__SID128_M__bin.24	4211	3359	592	260	0	64	4305	3429	614	262	0	65	90.31	3273
AsnicarF_2017__MV_FEI3_t1Q14__bin.6	3319	2842	301	176	0	65	3356	2859	320	177	0	67	76.1	2758
AsnicarF_2017__MV_FEI1_t1Q14__bin.8	4305	3394	679	232	0	65	4360	3416	710	234	0	67	91.78	3326
BackhedF_2015__SID128_4M__bin.13	4258	3530	480	248	0	65	4310	3553	496	261	0	67	94.84	3437
AsnicarF_2017__MV_FEI4_t1Q14__bin.5	4194	3521	554	119	0	65	4259	3569	571	119	0	67	95.34	3455
BackhedF_2015__SID103_M__bin.21	4294	3536	640	118	0	65	4357	3571	667	119	0	67	95.56	3463
BackhedF_2015__SID10_4M__bin.7	3935	3388	393	154	0	65	3961	3406	399	156	0	67	91.2	3305
BackhedF_2015__SID130_4M__bin.4	4040	3411	527	102	0	65	4075	3437	536	102	0	67	92.27	3344
BackhedF_2015__SID130_B__bin.1	4057	3397	403	257	0	65	4081	3414	408	259	0	67	91.97	3333
AsnicarF_2017__MV_FEI4_t2Q15__bin.6	4192	3365	574	253	0	64	4269	3428	586	255	0	66	91.03	3299
BackhedF_2015__SID10_M__bin.47	4216	3565	575	76	0	65	4254	3586	590	78	0	67	95.75	3470
BackhedF_2015__SID128_B__bin.7	4319	3629	474	216	0	65	4364	3653	494	217	0	68	97.41	3530
BackhedF_2015__SID1_12M__bin.18	4168	3477	535	156	0	65	4226	3516	552	158	0	67	93.35	3383
BackhedF_2015__SID10_B__bin.2	4209	3560	566	83	0	65	4245	3580	582	83	0	67	95.61	3465
BackhedF_2015__SID137_12M__bin.5	2062	1852	183	27	0	65	2070	1857	186	27	0	66	49.97	1811
BackhedF_2015__SID133_4M__bin.11	3941	3124	512	305	0	64	3999	3161	526	312	0	66	83.89	3040
BackhedF_2015__SID130_M__bin.26	4214	3447	441	326	0	65	4255	3476	448	331	0	67	93.29	3381
BackhedF_2015__SID1_4M__bin.21	2525	1916	329	280	0	50	2611	1991	338	282	0	51	51.71	1874
BackhedF_2015__SID133_B__bin.2	4486	3543	582	361	0	65	4561	3579	605	377	0	67	95.12	3447
BackhedF_2015__SID137_B__bin.1	4102	3311	550	241	0	65	4141	3334	563	244	0	66	89.49	3243
BackhedF_2015__SID137_4M__bin.8	4378	3437	638	303	0	65	4433	3469	658	306	0	67	92.91	3367
BackhedF_2015__SID137_M__bin.20	4054	3433	448	173	0	65	4123	3490	460	173	0	67	92.16	3340
BackhedF_2015__SID179_4M__bin.1	2777	2176	414	187	0	52	2874	2265	421	188	0	54	58.77	2130
BackhedF_2015__SID157_B__bin.1	4376	3592	552	232	0	65	4414	3611	570	233	0	67	96.55	3499
BackhedF_2015__SID157_4M__bin.3	4409	3577	560	272	0	65	4453	3600	580	273	0	67	96.14	3484
BackhedF_2015__SID179_B__bin.6	3193	2648	453	92	0	65	3228	2671	464	93	0	66	71.83	2603
BackhedF_2015__SID172_4M__bin.12	4291	3661	536	94	0	65	4328	3685	549	94	0	67	98.29	3562
BackhedF_2015__SID179_M__bin.27	3739	3007	508	224	0	62	3809	3071	513	225	0	64	81.32	2947
BackhedF_2015__SID172_B__bin.15	4281	3597	489	195	0	54	4310	3615	500	195	0	56	96.52	3498
BackhedF_2015__SID180_12M__bin.5	2426	2076	180	170	0	54	2496	2140	184	172	0	55	55.93	2027
BackhedF_2015__SID180_M__bin.34	3567	2905	410	252	0	59	3655	2982	420	253	0	63	77.98	2826
BackhedF_2015__SID181_12M__bin.7	3711	3058	448	205	0	64	3779	3115	457	207	0	67	82.2	2979
BackhedF_2015__SID181_4M__bin.7	4071	3544	399	128	0	65	4144	3586	429	129	0	68	95.17	3449
BackhedF_2015__SID180_4M__bin.8	4376	3611	566	199	0	65	4409	3634	575	200	0	67	97.02	3516
BackhedF_2015__SID181_M__bin.4	4197	3537	454	206	0	65	4291	3594	490	207	0	66	95.06	3445
BackhedF_2015__SID18_M__bin.29	4410	3643	418	349	0	65	4487	3687	448	352	0	67	97.82	3545
BackhedF_2015__SID195_12M__bin.24	4019	3150	629	240	0	63	4121	3233	648	240	0	66	84.6	3066
BackhedF_2015__SID1_B__bin.2	4424	3597	608	219	0	65	4502	3639	640	223	0	67	96.74	3506
BackhedF_2015__SID1_M__bin.26	4296	3549	570	177	0	65	4370	3591	598	181	0	67	95.45	3459
BackhedF_2015__SID224_4M__bin.5	4124	3339	615	170	0	64	4222	3419	632	171	0	67	90.29	3272
BackhedF_2015__SID201_4M__bin.6	4393	3272	531	590	0	63	4483	3330	549	604	0	65	87.91	3186
