Accession_number	Start	End	Prediction_method
NC_007530	69603	78339	PredictBias
NC_007530	251335	286118	PredictBias
NC_007530	402619	412167	PredictBias
NC_007530	456365	462303	PredictBias
NC_007530	552231	567647	PredictBias
NC_007530	573111	586955	PredictBias
NC_007530	593100	597299	PredictBias
NC_007530	629132	636327	PredictBias
NC_007530	737798	753873	PredictBias
NC_007530	889290	912514	PredictBias
NC_007530	970033	997470	PredictBias
NC_007530	1025262	1048749	PredictBias
NC_007530	1073974	1090287	PredictBias
NC_007530	1104677	1120568	PredictBias
NC_007530	1188472	1191874	PredictBias
NC_007530	1217245	1236917	PredictBias
NC_007530	1259971	1266833	PredictBias
NC_007530	1483728	1487464	PredictBias
NC_007530	1509953	1538113	PredictBias
NC_007530	1562853	1591545	PredictBias
NC_007530	1591595	1621624	PredictBias
NC_007530	1625111	1636743	PredictBias
NC_007530	1677866	1688325	PredictBias
NC_007530	1721653	1730235	PredictBias
NC_007530	1859468	1868557	PredictBias
NC_007530	1901875	1913849	PredictBias
NC_007530	1950971	1963713	PredictBias
NC_007530	2014362	2020037	PredictBias
NC_007530	2047217	2067537	PredictBias
NC_007530	2078399	2082819	PredictBias
NC_007530	2147766	2174560	PredictBias
NC_007530	2200266	2219918	PredictBias
NC_007530	2230499	2281636	PredictBias
NC_007530	2293979	2307434	PredictBias
NC_007530	2331430	2366052	PredictBias
NC_007530	2366255	2373238	PredictBias
NC_007530	2378668	2440773	PredictBias
NC_007530	2448900	2526753	PredictBias
NC_007530	2546487	2558198	PredictBias
NC_007530	2567645	2575611	PredictBias
NC_007530	2583908	2587241	PredictBias
NC_007530	2645976	2658559	PredictBias
NC_007530	2664317	2687672	PredictBias
NC_007530	2703417	2708549	PredictBias
NC_007530	2727408	2739471	PredictBias
NC_007530	2771656	2775295	PredictBias
NC_007530	2798853	2807465	PredictBias
NC_007530	2807512	2826399	PredictBias
NC_007530	2836832	2851332	PredictBias
NC_007530	2868950	2899136	PredictBias
NC_007530	2960268	2970933	PredictBias
NC_007530	2991355	3051314	PredictBias
NC_007530	3136520	3142040	PredictBias
NC_007530	3191783	3231772	PredictBias
NC_007530	3295989	3302930	PredictBias
NC_007530	3360878	3370084	PredictBias
NC_007530	3454641	3504292	PredictBias
NC_007530	3543010	3550972	PredictBias
NC_007530	3697046	3719338	PredictBias
NC_007530	3745168	3779402	PredictBias
NC_007530	3782629	3803006	PredictBias
NC_007530	3815154	3830200	PredictBias
NC_007530	3845299	3854230	PredictBias
NC_007530	3894471	3901833	PredictBias
NC_007530	3912611	3925310	PredictBias
NC_007530	4019708	4027917	PredictBias
NC_007530	4036548	4044060	PredictBias
NC_007530	4059235	4065418	PredictBias
NC_007530	4200538	4228469	PredictBias
NC_007530	4258414	4285354	PredictBias
NC_007530	4323983	4340966	PredictBias
NC_007530	4353277	4381262	PredictBias
NC_007530	4419058	4432088	PredictBias
NC_007530	4446104	4465844	PredictBias
NC_007530	4469118	4473626	PredictBias
NC_007530	4474478	4488506	PredictBias
NC_007530	4512586	4556113	PredictBias
NC_007530	4624261	4636006	PredictBias
NC_007530	4661181	4666148	PredictBias
NC_007530	4715343	4743909	PredictBias
NC_007530	4806113	4818833	PredictBias
NC_007530	4856472	4870081	PredictBias
NC_007530	4881456	4912327	PredictBias
NC_007530	4996302	5048429	PredictBias
NC_007530	5054224	5071286	PredictBias
NC_007530	5146769	5161565	PredictBias
NC_007530	5170751	5187653	PredictBias
NC_007530	5199692	5208600	PredictBias
NC_008750	66978	86683	PredictBias
NC_008750	102488	113299	PredictBias
NC_008750	122585	132734	PredictBias
NC_008750	139914	155166	PredictBias
NC_008750	228225	234247	PredictBias
NC_008750	238100	246847	PredictBias
NC_008750	308340	337050	PredictBias
NC_008750	355753	406911	PredictBias
NC_008750	451758	477924	PredictBias
NC_008750	500637	510933	PredictBias
NC_008750	514760	529636	PredictBias
NC_008750	549294	559951	PredictBias
NC_008750	589404	602746	PredictBias
NC_008750	611869	635457	PredictBias
NC_008750	650492	661522	PredictBias
NC_008750	666637	677010	PredictBias
NC_008750	728142	735704	PredictBias
NC_008750	761927	774399	PredictBias
NC_008750	799981	821097	PredictBias
NC_008750	993008	1001244	PredictBias
NC_008750	1034222	1039353	PredictBias
NC_008750	1107239	1143312	PredictBias
NC_008750	1170154	1176031	PredictBias
NC_008750	1203338	1218013	PredictBias
NC_008750	1371577	1398718	PredictBias
NC_008750	1483858	1489660	PredictBias
NC_008750	1509728	1524636	PredictBias
NC_008750	1556411	1591386	PredictBias
NC_008750	1591591	1636379	PredictBias
NC_008750	1640178	1655036	PredictBias
NC_008750	1656110	1667820	PredictBias
NC_008750	1752284	1777777	PredictBias
NC_008750	1814119	1820690	PredictBias
NC_008750	1821380	1829118	PredictBias
NC_008750	1995459	2015216	PredictBias
NC_008750	2094956	2123889	PredictBias
NC_008750	2268001	2287253	PredictBias
NC_008750	2331681	2368425	PredictBias
NC_008750	2492944	2506367	PredictBias
NC_008750	2526931	2550973	PredictBias
NC_008750	2577333	2588771	PredictBias
NC_008750	2634701	2650092	PredictBias
NC_008750	2653713	2665607	PredictBias
NC_008750	2669557	2676967	PredictBias
NC_008750	2692695	2730624	PredictBias
NC_008750	2762109	2784843	PredictBias
NC_008750	2820826	2905789	PredictBias
NC_008750	2920668	2944602	PredictBias
NC_008750	2965653	3016321	PredictBias
NC_008750	3041976	3055596	PredictBias
NC_008750	3094555	3115625	PredictBias
NC_008750	3156090	3185258	PredictBias
NC_008750	3207893	3218954	PredictBias
NC_008750	3302105	3338975	PredictBias
NC_008750	3377053	3383157	PredictBias
NC_008750	3510507	3543389	PredictBias
NC_008750	3584033	3604323	PredictBias
NC_008750	3610773	3624782	PredictBias
NC_008750	3659229	3668563	PredictBias
NC_008750	3762451	3782813	PredictBias
NC_008750	3832332	3845723	PredictBias
NC_008750	3886725	3900354	PredictBias
NC_008750	3965127	3977454	PredictBias
NC_008750	3981565	4002429	PredictBias
NC_008750	4032426	4071814	PredictBias
NC_008750	4084813	4133643	PredictBias
NC_008750	4188568	4193288	PredictBias
NC_008750	4208475	4223361	PredictBias
NC_008750	4229327	4237346	PredictBias
NC_008750	4251553	4299881	PredictBias
NC_008750	4375649	4388854	PredictBias
NC_008750	4399519	4440659	PredictBias
NC_008750	4460823	4483110	PredictBias
NC_008750	4565352	4596034	PredictBias
NC_008750	4673290	4683909	PredictBias
NC_010084	30314	48508	PredictBias
NC_010084	53215	59855	PredictBias
NC_010084	59862	70428	PredictBias
NC_010084	105335	111437	PredictBias
NC_010084	179094	197377	PredictBias
NC_010084	228353	237955	PredictBias
NC_010084	259411	300386	PredictBias
NC_010084	342958	348901	PredictBias
NC_010084	368284	409675	PredictBias
NC_010084	419468	440000	PredictBias
NC_010084	509323	517944	PredictBias
NC_010084	538121	559016	PredictBias
NC_010084	667108	675581	PredictBias
NC_010084	700555	713978	PredictBias
NC_010084	746853	757005	PredictBias
NC_010084	765231	772433	PredictBias
NC_010084	774327	790901	PredictBias
NC_010084	819496	832835	PredictBias
NC_010084	912283	922879	PredictBias
NC_010084	983285	993485	PredictBias
NC_010084	1018356	1024232	PredictBias
NC_010084	1037243	1051583	PredictBias
NC_010084	1054141	1065070	PredictBias
NC_010084	1084938	1096063	PredictBias
NC_010084	1123935	1138066	PredictBias
NC_010084	1190495	1205622	PredictBias
NC_010084	1244123	1258376	PredictBias
NC_010084	1270852	1286634	PredictBias
NC_010084	1468117	1497541	PredictBias
NC_010084	1566298	1578098	PredictBias
NC_010084	1617844	1628136	PredictBias
NC_010084	1668826	1678101	PredictBias
NC_010084	1712095	1795039	PredictBias
NC_010084	1857784	1871993	PredictBias
NC_010084	1893832	1944538	PredictBias
NC_010084	1982707	2004605	PredictBias
NC_010084	2012129	2028351	PredictBias
NC_010084	2059773	2082343	PredictBias
NC_010084	2097156	2151064	PredictBias
NC_010084	2162711	2171664	PredictBias
NC_010084	2176303	2183737	PredictBias
NC_010084	2194376	2199552	PredictBias
NC_010084	2301959	2320239	PredictBias
NC_010084	2481218	2569319	PredictBias
NC_010084	2664156	2686798	PredictBias
NC_010084	2716393	2736010	PredictBias
NC_010084	2748289	2765391	PredictBias
NC_010084	2800369	2807596	PredictBias
NC_010084	2808345	2849247	PredictBias
NC_010084	2905792	2915927	PredictBias
NC_010084	3009502	3018693	PredictBias
NC_010084	3052734	3065960	PredictBias
NC_010084	3177701	3252790	PredictBias
NC_010084	3290281	3303509	PredictBias
NC_010084	3335436	3355311	PredictBias
NC_010084	3370188	3380636	PredictBias
