Accession_number	Start	End	Prediction_method
NC_009782.1	5000	10000	alien_hunter
NC_009782.1	37500	42500	alien_hunter
NC_009782.1	55000	67500	alien_hunter
NC_009782.1	75000	82500	alien_hunter
NC_009782.1	102500	107500	alien_hunter
NC_009782.1	130000	140000	alien_hunter
NC_009782.1	265000	272500	alien_hunter
NC_009782.1	340000	347500	alien_hunter
NC_009782.1	435000	465000	alien_hunter
NC_009782.1	482500	492500	alien_hunter
NC_009782.1	497500	502500	alien_hunter
NC_009782.1	517500	522500	alien_hunter
NC_009782.1	530000	540000	alien_hunter
NC_009782.1	572500	585000	alien_hunter
NC_009782.1	602500	620000	alien_hunter
NC_009782.1	632500	642500	alien_hunter
NC_009782.1	857500	862500	alien_hunter
NC_009782.1	922500	927500	alien_hunter
NC_009782.1	1515000	1545000	alien_hunter
NC_009782.1	1762500	1770000	alien_hunter
NC_009782.1	1887500	1895000	alien_hunter
NC_009782.1	1950000	1962500	alien_hunter
NC_009782.1	1992500	2005000	alien_hunter
NC_009782.1	2110000	2115000	alien_hunter
NC_009782.1	2117500	2122500	alien_hunter
NC_009782.1	2132500	2137500	alien_hunter
NC_009782.1	2185000	2195000	alien_hunter
NC_009782.1	2287500	2297500	alien_hunter
NC_009782.1	2300000	2310000	alien_hunter
NC_009782.1	2352500	2357500	alien_hunter
NC_009782.1	2367500	2380000	alien_hunter
NC_009782.1	2525000	2530000	alien_hunter
NC_009782.1	2617500	2625000	alien_hunter
NC_009782.1	2630000	2637500	alien_hunter
NC_009782.1	2640000	2645000	alien_hunter
NC_009782.1	2780000	2785000	alien_hunter
NC_009782.1	2817500	2827500	alien_hunter
NC_007778.1	42500	50000	alien_hunter
NC_007778.1	72500	80000	alien_hunter
NC_007778.1	207500	227500	alien_hunter
NC_007778.1	235000	242500	alien_hunter
NC_007778.1	252500	257500	alien_hunter
NC_007778.1	270000	282500	alien_hunter
NC_007778.1	297500	307500	alien_hunter
NC_007778.1	332500	340000	alien_hunter
NC_007778.1	355000	360000	alien_hunter
NC_007778.1	392500	400000	alien_hunter
NC_007778.1	470000	475000	alien_hunter
NC_007778.1	530000	542500	alien_hunter
NC_007778.1	557500	562500	alien_hunter
NC_007778.1	580000	585000	alien_hunter
NC_007778.1	672500	680000	alien_hunter
NC_007778.1	722500	727500	alien_hunter
NC_007778.1	775000	780000	alien_hunter
NC_007778.1	855000	862500	alien_hunter
NC_007778.1	870000	875000	alien_hunter
NC_007778.1	885000	892500	alien_hunter
NC_007778.1	902500	917500	alien_hunter
NC_007778.1	922500	930000	alien_hunter
NC_007778.1	1022500	1027500	alien_hunter
NC_007778.1	1057500	1075000	alien_hunter
NC_007778.1	1105000	1110000	alien_hunter
NC_007778.1	1115000	1120000	alien_hunter
NC_007778.1	1222500	1230000	alien_hunter
NC_007778.1	1337500	1347500	alien_hunter
NC_007778.1	1350000	1355000	alien_hunter
NC_007778.1	1372500	1377500	alien_hunter
NC_007778.1	1432500	1440000	alien_hunter
NC_007778.1	1457500	1462500	alien_hunter
NC_007778.1	1495000	1500000	alien_hunter
NC_007778.1	1520000	1527500	alien_hunter
NC_007778.1	1550000	1560000	alien_hunter
